player_id,full_name,nhl_player_id,old_team,new_team,move_type,event_date,url_1,url_2,status
562,Frederick Gaudreau,8477919,Wild,Kraken,,,,,needs_date
565,Bobby McMann,8482259,Maple Leafs,Kraken,,,,,needs_date
576,Ryan Lindgren,8479324,Avalanche,Kraken,,,,,needs_date
580,Jonatan Berggren,8481013,Red Wings,Blues,,,,,needs_date
582,Jonathan Drouin,8477494,Avalanche,Islanders,,,,,needs_date
582,Jonathan Drouin,8477494,Islanders,Blues,,,,,needs_date
584,Jack Finley,8482090,Lightning,Blues,,,,,needs_date
590,Pius Suter,8480459,Canucks,Blues,,,,,needs_date
596,Justin Holl,8475718,Red Wings,Blues,,,,,needs_date
598,Logan Mailloux,8482733,Canadiens,Blues,,,,,needs_date
609,Pontus Holmberg,8480995,Maple Leafs,Lightning,,,,,needs_date
613,Corey Perry,8470621,Oilers,Kings,,,,,needs_date
613,Corey Perry,8470621,Kings,Lightning,,,,,needs_date
615,Scott Sabourin,8477149,Sharks,Lightning,,,,,needs_date
629,Dakota Joshua,8478057,Canucks,Maple Leafs,,,,,needs_date
632,Matias Maccelli,8481711,Utah Hockey Club,Maple Leafs,,,,,needs_date
644,Troy Stecher,8479442,Oilers,Maple Leafs,,,,,needs_date
648,Michael Carcone,8479619,Utah Hockey Club,Mammoth,,,,,needs_date
649,Logan Cooley,8483431,Utah Hockey Club,Mammoth,,,,,needs_date
650,Lawson Crouse,8478474,Utah Hockey Club,Mammoth,,,,,needs_date
651,Dylan Guenther,8482699,Utah Hockey Club,Mammoth,,,,,needs_date
652,Barrett Hayton,8480849,Utah Hockey Club,Mammoth,,,,,needs_date
653,Clayton Keller,8479343,Utah Hockey Club,Mammoth,,,,,needs_date
654,Alexander Kerfoot,8477021,Utah Hockey Club,Mammoth,,,,,needs_date
655,Jack McBain,8480855,Utah Hockey Club,Mammoth,,,,,needs_date
657,Liam O'Brien,8477070,Utah Hockey Club,Mammoth,,,,,needs_date
658,JJ Peterka,8482175,Sabres,Mammoth,,,,,needs_date
659,Kevin Rooney,8479291,Flames,Mammoth,,,,,needs_date
660,Nick Schmaltz,8477951,Utah Hockey Club,Mammoth,,,,,needs_date
661,Kevin Stenlund,8478831,Utah Hockey Club,Mammoth,,,,,needs_date
662,Brandon Tanev,8479293,Jets,Mammoth,,,,,needs_date
663,Kailer Yamamoto,8479977,Utah Hockey Club,Mammoth,,,,,needs_date
664,Ian Cole,8474013,Utah Hockey Club,Mammoth,,,,,needs_date
665,Nick DeSimone,8480084,Utah Hockey Club,Mammoth,,,,,needs_date
