player_id,full_name,position,group,line_slot,team_code,nhl_team_code,team_slug,team_city,nhl_player_id,wikipedia_slug,capwages_slug,roster_source,fetch_date
56,Brad Marchand,L,f1,f1:L,FLA,FLA,florida-panthers,Florida,8473419,Brad_Marchand,brad-marchand,nhl_toi_position,2026-05-28
57,Sam Reinhart,C,f1,f1:C,FLA,FLA,florida-panthers,Florida,8477933,Sam_Reinhart,sam-reinhart,nhl_toi_position,2026-05-28
58,Mackie Samoskevich,R,f1,f1:R,FLA,FLA,florida-panthers,Florida,8482713,Mackie_Samoskevich,mackie-samoskevich,nhl_toi_position,2026-05-28
59,Seth Jones,D,d1,d1:D,FLA,FLA,florida-panthers,Florida,8477495,Seth_Jones,seth-jones,nhl_toi_position,2026-05-28
60,Gustav Forsling,D,d1,d1:D,FLA,FLA,florida-panthers,Florida,8478055,Gustav_Forsling,gustav-forsling,nhl_toi_position,2026-05-28
61,Artemi Panarin,L,f1,f1:L,LA,LAK,los-angeles-kings,Los Angeles,8478550,Artemi_Panarin,artemi-panarin,nhl_toi_position,2026-05-28
62,Anze Kopitar,C,f1,f1:C,LA,LAK,los-angeles-kings,Los Angeles,8471685,Anze_Kopitar,anze-kopitar,nhl_toi_position,2026-05-28
63,Quinton Byfield,R,f1,f1:R,LA,LAK,los-angeles-kings,Los Angeles,8482124,Quinton_Byfield,quinton-byfield,nhl_toi_position,2026-05-28
64,Drew Doughty,D,d1,d1:D,LA,LAK,los-angeles-kings,Los Angeles,8474563,Drew_Doughty,drew-doughty,nhl_toi_position,2026-05-28
65,Mikey Anderson,D,d1,d1:D,LA,LAK,los-angeles-kings,Los Angeles,8479998,Mikey_Anderson,mikey-anderson,nhl_toi_position,2026-05-28
66,Kirill Kaprizov,L,f1,f1:L,MIN,MIN,minnesota-wild,Minnesota,8478864,Kirill_Kaprizov,kirill-kaprizov,nhl_toi_position,2026-05-28
67,Joel Eriksson Ek,C,f1,f1:C,MIN,MIN,minnesota-wild,Minnesota,8478493,Joel_Eriksson_Ek,joel-eriksson-ek,nhl_toi_position,2026-05-28
68,Mats Zuccarello,R,f1,f1:R,MIN,MIN,minnesota-wild,Minnesota,8475692,Mats_Zuccarello,mats-zuccarello,nhl_toi_position,2026-05-28
69,Quinn Hughes,D,d1,d1:D,MIN,MIN,minnesota-wild,Minnesota,8480800,Quinn_Hughes,quinn-hughes,nhl_toi_position,2026-05-28
70,Brock Faber,D,d1,d1:D,MIN,MIN,minnesota-wild,Minnesota,8482122,Brock_Faber,brock-faber,nhl_toi_position,2026-05-28
71,Juraj Slafkovský,L,f1,f1:L,MON,MTL,montreal-canadiens,Montreal,8483515,Juraj_Slafkovský,juraj-slafkovský,nhl_toi_position,2026-05-28
72,Nick Suzuki,C,f1,f1:C,MON,MTL,montreal-canadiens,Montreal,8480018,Nick_Suzuki,nick-suzuki,nhl_toi_position,2026-05-28
73,Cole Caufield,R,f1,f1:R,MON,MTL,montreal-canadiens,Montreal,8481540,Cole_Caufield,cole-caufield,nhl_toi_position,2026-05-28
74,Mike Matheson,D,d1,d1:D,MON,MTL,montreal-canadiens,Montreal,8476875,Mike_Matheson,mike-matheson,nhl_toi_position,2026-05-28
75,Lane Hutson,D,d1,d1:D,MON,MTL,montreal-canadiens,Montreal,8483457,Lane_Hutson,lane-hutson,nhl_toi_position,2026-05-28
