team_code,first_name,last_name,position,wikipedia_slug,wiki_12mo
TBL,Ryan,McDonagh,D,Ryan_McDonagh,62011
TBL,J.J.,Moser,D,J.J._Moser,13836
TBL,Darren,Raddysh,D,Darren_Raddysh,60745
TBL,Jonas,Johansson,G,Jonas_Johansson,514
TBL,Harrison,Meneghin,G,,
TBL,Andrei,Vasilevskiy,G,Andrei_Vasilevskiy,134886
TOR,Max,Domi,C,Max_Domi,143031
TOR,Bo,Groulx,C,,
TOR,Luke,Haymes,C,Luke_Haymes,1
TOR,Calle,Jarnkrok,C,Calle_Jarnkrok,610
TOR,Dakota,Joshua,C,Dakota_Joshua,78174
TOR,Matthew,Knies,L,Matthew_Knies,118682
TOR,Steven,Lorentz,C,Steven_Lorentz,28015
TOR,Matias,Maccelli,L,Matias_Maccelli,74858
TOR,Auston,Matthews,C,Auston_Matthews,709591
TOR,William,Nylander,R,William_Nylander,210139
TOR,Nicholas,Robertson,L,Nicholas_Robertson,213
TOR,John,Tavares,C,John_Tavares,220422
TOR,Simon,Benoit,D,Simon_Benoit,22032
TOR,Brandon,Carlo,D,Brandon_Carlo,52056
TOR,Oliver,Ekman-Larsson,D,Oliver_Ekman-Larsson,67917
TOR,Jake,McCabe,D,Jake_McCabe,30322
TOR,Philippe,Myers,D,Philippe_Myers,18599
TOR,Morgan,Rielly,D,Morgan_Rielly,158970
TOR,Troy,Stecher,D,Troy_Stecher,74060
TOR,Chris,Tanev,D,Chris_Tanev,1790
TOR,Anthony,Stolarz,G,Anthony_Stolarz,98653
TOR,Joseph,Woll,G,Joseph_Woll,73366
VGK,Ivan,Barbashev,L,Ivan_Barbashev,24977
VGK,Braeden,Bowman,R,Braeden_Bowman,13368
VGK,Trevor,Connelly,L,Trevor_Connelly,14809
VGK,Pavel,Dorofeyev,R,Pavel_Dorofeyev,43016
VGK,Nic,Dowd,C,Nic_Dowd,40583
VGK,Jack,Eichel,C,Jack_Eichel,277446
VGK,Tomas,Hertl,C,Tomas_Hertl,880
VGK,Alexander,Holtz,R,Alexander_Holtz,21693
VGK,Brett,Howden,C,Brett_Howden,56440
VGK,William,Karlsson,C,William_Karlsson,47380
VGK,Keegan,Kolesar,R,Keegan_Kolesar,26917
VGK,Tanner,Laczynski,C,Tanner_Laczynski,6311
VGK,Raphael,Lavoie,C,Raphael_Lavoie,562
VGK,Mitch,Marner,R,Mitch_Marner,518114
VGK,Jonas,Rondbjerg,R,Jonas_Rondbjerg,494
VGK,Brandon,Saad,L,Brandon_Saad,64141
