player_id,full_name,nhl_player_id,wikipedia_slug_chosen,wikidata_qid,wiki_match,wd_label,wd_nhl_id,wd_birth,nhl_birth,verdict
179,Isac Lundeström,8480806,Isac_Lundeström,Q23869474,occupation,Isac Lundeström,8480806,1999,,ok_nhl_id
180,Kirill Marchenko,8480893,Kirill_Marchenko,Q56651259,occupation,Kirill Marchenko,8480893,2000,,ok_nhl_id
181,Mason Marchment,8478975,Mason_Marchment,Q80720760,occupation,Mason Marchment,8478975,1995,,ok_nhl_id
182,Sean Monahan,8477497,Sean_Monahan,Q13581433,occupation,Sean Monahan,8477497,1994,,ok_nhl_id
183,Mathieu Olivier,8479671,Mathieu_Olivier,Q60485104,occupation,Mathieu Olivier,8479671,1997,,ok_nhl_id
184,Cole Sillinger,8482705,Cole_Sillinger,Q102077303,occupation,Cole Sillinger,8482705,2003,,ok_nhl_id
185,Dmitri Voronkov,8481716,Dmitri_Voronkov,Q64853164,occupation,Dmitri Voronkov,8481716,2000,,ok_nhl_id
186,Miles Wood,8477425,Miles_Wood,Q23809781,occupation,Miles Wood,8477425,1995,,ok_nhl_id
187,Jake Christiansen,8481161,Jake_Christiansen_(ice_hockey),Q110460125,occupation,Jake Christiansen,8481161,1999,,ok_nhl_id
188,Dante Fabbro,8479371,Dante_Fabbro,Q22005702,occupation,Dante Fabbro,8479371,1998,,ok_nhl_id
189,Erik Gudbranson,8475790,Erik_Gudbranson,Q1353957,occupation,Erik Gudbranson,8475790,1992,,ok_nhl_id
190,Denton Mateychuk,8483485,Denton_Mateychuk,Q81905280,occupation,Denton Mateychuk,8483485,2004,,ok_nhl_id
191,Ivan Provorov,8478500,Ivan_Provorov,Q19972647,occupation,Ivan Provorov,8478500,1997,,ok_nhl_id
192,Damon Severson,8476923,Damon_Severson,Q18247523,occupation,Damon Severson,8476923,1994,,ok_nhl_id
193,Brendan Smith,8474090,Brendan_Smith_(ice_hockey),Q2907301,occupation,Brendan Smith,8474090,1989,,ok_nhl_id
194,Zach Werenski,8478460,Zach_Werenski,Q19662630,occupation,Zach Werenski,8478460,1997,,ok_nhl_id
195,Egor Zamula,8481178,Egor_Zamula,Q105062111,occupation,Egor Zamula,8481178,2000,,ok_nhl_id
196,Nathan Bastian,8479414,Nathan_Bastian,Q60706036,occupation,Nathan Bastian,8479414,1997,,ok_nhl_id
197,Jamie Benn,8473994,Jamie_Benn,Q1064791,occupation,Jamie Benn,8473994,1989,,ok_nhl_id
198,Colin Blackwell,8476278,Colin_Blackwell,Q60823259,occupation,Colin Blackwell,8476278,1993,,ok_nhl_id
199,Mavrik Bourque,8482145,Mavrik_Bourque,Q100166499,occupation,Mavrik Bourque,8482145,2002,,ok_nhl_id
200,Michael Bunting,8478047,Michael_Bunting,Q59696575,occupation,Michael Bunting,8478047,1995,,ok_nhl_id
201,Oskar Bäck,8480840,Oskar_Bäck,Q60404235,occupation,Oskar Bäck,8480840,2000,,ok_nhl_id
202,Matt Duchene,8475168,Matt_Duchene,Q717078,occupation,Matt Duchene,8475168,1991,,ok_nhl_id
203,Adam Erne,8477454,Adam_Erne,Q28122508,occupation,Adam Erne,8477454,1995,,ok_nhl_id
204,Radek Faksa,8476889,Radek_Faksa,Q3416408,occupation,Radek Faksa,8476889,1994,,ok_nhl_id
205,Roope Hintz,8478449,Roope_Hintz,Q16229047,occupation,Roope Hintz,8478449,1996,,ok_nhl_id
206,Justin Hryckowian,8484829,Justin_Hryckowian,Q131598130,occupation,Justin Hryckowian,8484829,2001,,ok_nhl_id
207,Arttu Hyry,8484938,Arttu_Hyry,Q101184366,occupation,Arttu Hyry,8484938,2001,,ok_nhl_id
208,Wyatt Johnston,8482740,Wyatt_Johnston,Q107677619,occupation,Wyatt Johnston,8482740,2003,,ok_nhl_id
209,Mikko Rantanen,8478420,Mikko_Rantanen,Q11882784,occupation,Mikko Rantanen,8478420,1996,,ok_nhl_id
210,Jason Robertson,8480027,Jason_Robertson,Q83617451,occupation,Jason Robertson,8480027,1999,,ok_nhl_id
211,Tyler Seguin,8475794,Tyler_Seguin,Q772640,occupation,Tyler Seguin,8475794,1992,,ok_nhl_id
212,Sam Steel,8479351,Sam_Steel,Q24805711,occupation,Sam Steel,8479351,1998,,ok_nhl_id
213,Lian Bichsel,8483425,Lian_Bichsel,Q81901906,occupation,Lian Bichsel,8483425,2004,,ok_nhl_id
214,Kyle Capobianco,8478476,Kyle_Capobianco,Q21706800,occupation,Kyle Capobianco,8478476,1997,,ok_nhl_id
215,Thomas Harley,8481581,Thomas_Harley_(ice_hockey),Q65030543,occupation,Thomas Harley,8481581,2001,,ok_nhl_id
216,Miro Heiskanen,8480036,Miro_Heiskanen,Q24827214,occupation,Miro Heiskanen,8480036,1999,,ok_nhl_id
217,Esa Lindell,8476902,Esa_Lindell,Q11858583,occupation,Esa Lindell,8476902,1994,,ok_nhl_id
218,Nils Lundkvist,8480878,Nils_Lundkvist,Q52482603,occupation,Nils Lundkvist,8480878,2000,,ok_nhl_id
219,Ilya Lyubushkin,8480950,Ilya_Lyubushkin,Q16229578,occupation,Ilya Lyubushkin,8480950,1994,,ok_nhl_id
220,Tyler Myers,8474574,Tyler_Myers,Q1365229,occupation,Tyler Myers,8474574,1990,,ok_nhl_id
221,Alexander Petrovic,8475755,Alex_Petrovic,Q4717623,occupation,Alex Petrovic,8475755,1992,,ok_nhl_id
222,Mason Appleton,8478891,Mason_Appleton,Q51883528,occupation,Mason Appleton,8478891,1996,,ok_nhl_id
223,J.T. Compher,8477456,J._T._Compher,Q16728159,occupation,J. T. Compher,8477456,1995,,ok_nhl_id
