player_id,full_name,nhl_player_id,team_code,season,position,age,ppg,toi_per_game,games_played,fetch_date
95,Connor Zary,8482074,CGY,20252026,C,24,0.3378,14.367,74,2026-08-07
96,Kevin Bahl,8480860,CGY,20232024,D,23,0.1341,17.4,82,2026-08-07
96,Kevin Bahl,8480860,CGY,20242025,D,24,0.274,21.383,73,2026-08-07
96,Kevin Bahl,8480860,CGY,20252026,D,25,0.2368,21.95,76,2026-08-07
97,Jake Bean,8479402,CGY,20232024,D,25,0.1806,16.333,72,2026-08-07
97,Jake Bean,8479402,CGY,20242025,D,26,0.1094,15.083,64,2026-08-07
97,Jake Bean,8479402,CGY,20252026,D,27,0.125,15.95,16,2026-08-07
98,Hunter Brzustewicz,8484150,CGY,20232024,D,19,,,,2026-08-07
98,Hunter Brzustewicz,8484150,CGY,20242025,D,20,0.0,18.383,1,2026-08-07
98,Hunter Brzustewicz,8484150,CGY,20252026,D,21,0.2059,16.133,34,2026-08-07
99,Joel Hanley,8477810,CGY,20232024,D,32,0.119,13.898,42,2026-08-07
99,Joel Hanley,8477810,CGY,20242025,D,33,0.1698,18.583,53,2026-08-07
99,Joel Hanley,8477810,CGY,20252026,D,34,0.1029,14.667,68,2026-08-07
100,Yan Kuznetsov,8482165,CGY,20232024,D,21,0.0,11.967,1,2026-08-07
100,Yan Kuznetsov,8482165,CGY,20242025,D,22,,,,2026-08-07
100,Yan Kuznetsov,8482165,CGY,20252026,D,23,0.2105,20.083,57,2026-08-07
101,Olli Maatta,8476874,CGY,20232024,D,29,0.25,16.05,72,2026-08-07
101,Olli Maatta,8476874,CGY,20242025,D,30,0.2338,19.548,77,2026-08-07
101,Olli Maatta,8476874,CGY,20252026,D,31,0.3488,17.213,43,2026-08-07
102,Brayden Pachal,8481167,CGY,20232024,D,24,0.14,14.683,50,2026-08-07
102,Brayden Pachal,8481167,CGY,20242025,D,25,0.1579,14.233,76,2026-08-07
102,Brayden Pachal,8481167,CGY,20252026,D,26,0.1795,13.883,39,2026-08-07
103,Zayne Parekh,8484768,CGY,20232024,D,17,,,,2026-08-07
103,Zayne Parekh,8484768,CGY,20242025,D,18,1.0,20.517,1,2026-08-07
103,Zayne Parekh,8484768,CGY,20252026,D,19,0.2432,17.15,37,2026-08-07
104,Zach Whitecloud,8480727,CGY,20232024,D,27,0.2295,17.583,61,2026-08-07
104,Zach Whitecloud,8480727,CGY,20242025,D,28,0.1757,17.517,74,2026-08-07
104,Zach Whitecloud,8480727,CGY,20252026,D,29,0.2179,20.317,78,2026-08-07
105,Abram Wiebe,8483709,CGY,20232024,D,20,,,,2026-08-07
