player_id,full_name,nhl_player_id,capwages_nhlid,cap_hit_M,season,cap_quality,cap_note,source_url,fetched_at
130,Darren Raddysh,8478178,8478178,0.9750,2025-26,ok,,https://capwages.com/players/darren-raddysh,2026-05-27T16:15:20.795074+00:00
131,John Tavares,8475166,8475166,4.3800,2025-26,ok,,https://capwages.com/players/john-tavares,2026-05-27T16:15:20.795074+00:00
132,William Nylander,8477939,8477939,11.5000,2025-26,ok,,https://capwages.com/players/william-nylander,2026-05-27T16:15:20.795074+00:00
133,Easton Cowan,8484158,8484158,0.8762,2025-26,ok,,https://capwages.com/players/easton-cowan,2026-05-27T16:15:20.795074+00:00
134,Morgan Rielly,8476853,8476853,7.5000,2025-26,ok,,https://capwages.com/players/morgan-rielly,2026-05-27T16:15:20.795074+00:00
135,Troy Stecher,8479442,8479442,0.7875,2025-26,ok,,https://capwages.com/players/troy-stecher,2026-05-27T16:15:20.795074+00:00
136,Clayton Keller,8479343,8479343,7.1500,2025-26,ok,,https://capwages.com/players/clayton-keller,2026-05-27T16:15:20.795074+00:00
137,Lawson Crouse,8478474,8478474,4.3000,2025-26,ok,,https://capwages.com/players/lawson-crouse,2026-05-27T16:15:20.795074+00:00
138,Nick Schmaltz,8477951,8477951,5.8500,2025-26,ok,,https://capwages.com/players/nick-schmaltz,2026-05-27T16:15:20.795074+00:00
139,Mikhail Sergachev,8479410,8479410,8.5000,2025-26,ok,,https://capwages.com/players/mikhail-sergachev,2026-05-27T16:15:20.795074+00:00
140,MacKenzie Weegar,8477346,8477346,6.2500,2025-26,ok,,https://capwages.com/players/mackenzie-weegar,2026-05-27T16:15:20.795074+00:00
141,Drew O'Connor,8482055,8482055,2.5000,2025-26,ok,,https://capwages.com/players/drew-o-connor,2026-05-27T16:15:20.795074+00:00
142,Marco Rossi,8482079,8482079,5.0000,2025-26,ok,,https://capwages.com/players/marco-rossi,2026-05-27T16:15:20.795074+00:00
143,Linus Karlsson,8481024,8481024,0.7750,2025-26,ok,,https://capwages.com/players/linus-karlsson,2026-05-27T16:15:20.795074+00:00
144,Filip Hronek,8479425,8479425,7.2500,2025-26,ok,,https://capwages.com/players/filip-hronek,2026-05-27T16:15:20.795074+00:00
145,Zeev Buium,8484798,8484798,0.9665,2025-26,ok,,https://capwages.com/players/zeev-buium,2026-05-27T16:15:20.795074+00:00
146,Jack Eichel,8478403,8478403,10.0000,2025-26,ok,,https://capwages.com/players/jack-eichel,2026-05-27T16:15:20.795074+00:00
147,Ivan Barbashev,8477964,8477964,5.0000,2025-26,ok,,https://capwages.com/players/ivan-barbashev,2026-05-27T16:15:20.795074+00:00
148,Pavel Dorofeyev,8481604,8481604,1.8350,2025-26,ok,,https://capwages.com/players/pavel-dorofeyev,2026-05-27T16:15:20.795074+00:00
149,Shea Theodore,8477447,8477447,7.4250,2025-26,ok,,https://capwages.com/players/shea-theodore,2026-05-27T16:15:20.795074+00:00
150,Brayden McNabb,8475188,8475188,3.6500,2025-26,ok,,https://capwages.com/players/brayden-mcnabb,2026-05-27T16:15:20.795074+00:00
151,Alex Ovechkin,8471214,8471214,9.5000,2025-26,ok,,https://capwages.com/players/alex-ovechkin,2026-05-27T16:15:20.795074+00:00
152,Dylan Strome,8478440,8478440,5.0000,2025-26,ok,,https://capwages.com/players/dylan-strome,2026-05-27T16:15:20.795074+00:00
153,Anthony Beauvillier,8478463,8478463,2.7500,2025-26,ok,,https://capwages.com/players/anthony-beauvillier,2026-05-27T16:15:20.795074+00:00
154,Martin Fehervary,8480796,8480796,2.6750,2025-26,ok,,https://capwages.com/players/martin-fehervary,2026-05-27T16:15:20.795074+00:00
155,Dylan McIlrath,8475795,8475795,0.8250,2025-26,ok,,https://capwages.com/players/dylan-mcilrath,2026-05-27T16:15:20.795074+00:00
156,Kyle Connor,8478398,8478398,7.1429,2025-26,ok,,https://capwages.com/players/kyle-connor,2026-05-27T16:15:20.795074+00:00
157,Mark Scheifele,8476460,8476460,8.5000,2025-26,ok,,https://capwages.com/players/mark-scheifele,2026-05-27T16:15:20.795074+00:00
158,Gabriel Vilardi,8480014,8480014,7.5000,2025-26,ok,,https://capwages.com/players/gabriel-vilardi,2026-05-27T16:15:20.795074+00:00
159,Josh Morrissey,8477504,8477504,6.2500,2025-26,ok,,https://capwages.com/players/josh-morrissey,2026-05-27T16:15:20.795074+00:00
160,Dylan DeMelo,8476331,8476331,4.9000,2025-26,ok,,https://capwages.com/players/dylan-demelo,2026-05-27T16:15:20.795074+00:00
